Ep: 0, steps: 1, D loss: 0.448454, acc:  34%, G loss: 12.988892
Ep: 0, steps: 2, D loss: 0.344723, acc:  54%, G loss: 9.243188
Ep: 0, steps: 3, D loss: 0.188524, acc:  73%, G loss: 9.728773
Ep: 0, steps: 4, D loss: 0.351666, acc:  51%, G loss: 9.781559
Ep: 0, steps: 5, D loss: 0.314366, acc:  55%, G loss: 8.323489
Ep: 0, steps: 6, D loss: 0.275135, acc:  61%, G loss: 8.779087
Ep: 0, steps: 7, D loss: 0.353235, acc:  54%, G loss: 8.040096
Ep: 0, steps: 8, D loss: 0.290345, acc:  63%, G loss: 8.439151
Ep: 0, steps: 9, D loss: 0.435787, acc:  39%, G loss: 6.729830
Ep: 0, steps: 10, D loss: 0.430326, acc:  47%, G loss: 8.069736
Ep: 0, steps: 11, D loss: 0.639977, acc:  25%, G loss: 7.909137
Ep: 0, steps: 12, D loss: 0.241027, acc:  66%, G loss: 8.572119
Ep: 0, steps: 13, D loss: 0.552153, acc:  35%, G loss: 6.874593
Ep: 0, steps: 14, D loss: 0.436031, acc:  48%, G loss: 5.664697
Ep: 0, steps: 15, D loss: 0.389806, acc:  48%, G loss: 5.552608
Ep: 0, steps: 16, D loss: 0.391689, acc:  45%, G loss: 5.620201
Ep: 0, steps: 17, D loss: 0.353701, acc:  48%, G loss: 5.880493
Ep: 0, steps: 18, D loss: 0.281855, acc:  57%, G loss: 5.896183
Ep: 0, steps: 19, D loss: 0.362400, acc:  46%, G loss: 5.254666
Ep: 0, steps: 20, D loss: 0.366043, acc:  43%, G loss: 6.589471
Ep: 1, steps: 1, D loss: 0.375954, acc:  40%, G loss: 5.724819
Ep: 1, steps: 2, D loss: 0.308039, acc:  48%, G loss: 4.518346
Ep: 1, steps: 3, D loss: 0.243672, acc:  59%, G loss: 5.530141
Ep: 1, steps: 4, D loss: 0.470347, acc:  29%, G loss: 6.031063
Ep: 1, steps: 5, D loss: 0.325197, acc:  44%, G loss: 6.197611
Ep: 1, steps: 6, D loss: 0.319342, acc:  45%, G loss: 5.949783
Ep: 1, steps: 7, D loss: 0.293317, acc:  52%, G loss: 5.972301
Ep: 1, steps: 8, D loss: 0.317380, acc:  50%, G loss: 5.360931
Ep: 1, steps: 9, D loss: 0.359695, acc:  38%, G loss: 4.655054
Ep: 1, steps: 10, D loss: 0.411976, acc:  35%, G loss: 6.352173
Ep: 1, steps: 11, D loss: 0.270161, acc:  54%, G loss: 6.446830
Ep: 1, steps: 12, D loss: 0.416215, acc:  29%, G loss: 5.809018
Ep: 1, steps: 13, D loss: 0.325533, acc:  44%, G loss: 4.766846
Ep: 1, steps: 14, D loss: 0.275605, acc:  53%, G loss: 3.865645
